Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
82,hyundai.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Sectigo RSA Organization Validation Secure Server CA,2026-04-12,RSA,F,TLS_M_CS_L
83,collector.github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2026-05-14,RSA,F,TLS_H_CS_M
84,assets.adobedtm.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-07-25,ECDSA,F,TLS_H_CS_H
85,static.ads-twitter.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-18,RSA,T,TLS_H_CS_M
86,www.hyundai.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2025-11-06,RSA,F,TLS_H_CS_M
87,kia.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Go Daddy Secure Certificate Authority - G2,2026-06-29,RSA,F,TLS_M_CS_L
88,www.kia.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_H_CS_M
89,videos.ctfassets.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2025-12-14,RSA,F,TLS_H_CS_M
90,api.github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo ECC Domain Validation Secure Server CA,2026-02-05,ECDSA,F,TLS_H_CS_M
91,sk.com,1.3,H,AES_256_GCM_SHA384,None,H,GlobalSign RSA OV SSL CA 2018,2025-12-23,RSA,F,TLS_H_CS_H
92,eng.sk.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,E6,2025-10-25,ECDSA,T,TLS_H_CS_M
93,fonts.googleapis.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
94,fp.dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-09-16,RSA,T,TLS_H_CS_M
95,cdn.dropboxexperiment.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-28,RSA,F,TLS_H_CS_M
96,www.google-analytics.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
97,static.hotjar.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-22,RSA,F,TLS_H_CS_M
98,script.hotjar.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-22,RSA,F,TLS_H_CS_M
99,c.contentsquare.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-01,RSA,T,TLS_H_CS_M
100,netfunnel.hmc.co.kr,1.2,M,Unknown (0x009C),Unknown,L,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_M_CS_L
101,i.ytimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR2,2025-09-29,RSA,T,TLS_H_CS_M
102,resources.digital-cloud-west.medallia.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,SSL.com RSA SSL subCA,2025-10-01,RSA,T,TLS_H_CS_M
103,www.datadoghq-browser-agent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-05-30,RSA,F,TLS_H_CS_M
